trial,index,rating
0,criticality,1.0
0,alternative,20.0
0,newmodel,20.0
1,criticality,1.0
1,alternative,20.0
1,newmodel,50.0
2,criticality,1.0
2,alternative,20.0
2,newmodel,33.33333333333333
3,criticality,1.0
3,alternative,20.0
3,newmodel,33.33333333333333
4,criticality,0.03225806451612903
4,alternative,20.0
4,newmodel,20.0
5,criticality,0.03225806451612903
5,alternative,20.0
5,newmodel,50.0
6,criticality,0.03225806451612903
6,alternative,20.0
6,newmodel,33.33333333333333
7,criticality,0.03225806451612903
7,alternative,20.0
7,newmodel,33.33333333333333
8,criticality,1.0
8,alternative,100.0
8,newmodel,100.0
9,criticality,0.03225806451612903
9,alternative,100.0
9,newmodel,100.0
10,criticality,0.6842105263157895
10,alternative,100.0
10,newmodel,100.0
11,criticality,0.1
11,alternative,33.33333333333333
11,newmodel,33.33333333333333
12,criticality,1.0
12,alternative,20.0
12,newmodel,50.0
13,criticality,1.0
13,alternative,25.0
13,newmodel,50.0
14,criticality,0.03225806451612903
14,alternative,25.0
14,newmodel,50.0
15,criticality,0.03225806451612903
15,alternative,25.0
15,newmodel,50.0
